start_time,axis1,axis2,axis3,steps
2015-02-08 21:58:00,4355,3873,4771,18
2015-02-08 21:59:00,2840,4044,3413,28
2015-02-08 22:00:00,5650,3852,3720,34
2015-02-08 22:01:00,3999,3542,3655,32
2015-02-08 22:02:00,3212,2606,2755,29
2015-02-08 22:03:00,2485,1745,3208,13
2015-02-08 22:04:00,584,974,949,5
2015-02-08 22:05:00,557,1482,1438,5
2015-02-08 22:06:00,228,430,716,5
2015-02-08 22:07:00,0,0,0,0
2015-02-08 22:08:00,265,305,265,2
2015-02-08 22:09:00,0,0,0,0
2015-02-08 22:10:00,421,738,644,2
2015-02-08 22:11:00,492,594,906,4
2015-02-08 22:12:00,288,214,200,1
2015-02-08 22:13:00,0,0,0,0
2015-02-08 22:14:00,0,0,0,0
2015-02-08 22:15:00,0,0,0,0
2015-02-08 22:16:00,0,0,0,0
2015-02-08 22:17:00,0,0,0,0
2015-02-08 22:18:00,0,0,0,0
2015-02-08 22:19:00,0,0,0,0
2015-02-08 22:20:00,0,0,0,0
2015-02-08 22:21:00,0,0,0,0
2015-02-08 22:22:00,0,0,0,0
2015-02-08 22:23:00,0,0,0,0
2015-02-08 22:24:00,0,0,0,0
2015-02-08 22:25:00,0,0,0,0
2015-02-08 22:26:00,0,0,0,0
2015-02-08 22:27:00,0,0,0,0
2015-02-08 22:28:00,0,0,0,0
2015-02-08 22:29:00,0,0,0,0
2015-02-08 22:30:00,0,0,0,0
2015-02-08 22:31:00,0,0,0,0
2015-02-08 22:32:00,0,0,0,0
2015-02-08 22:33:00,0,0,0,0
2015-02-08 22:34:00,0,0,0,0
2015-02-08 22:35:00,0,0,0,0
2015-02-08 22:36:00,0,0,0,0
2015-02-08 22:37:00,0,0,0,0
2015-02-08 22:38:00,0,0,0,0
2015-02-08 22:39:00,0,0,0,0
2015-02-08 22:40:00,0,0,0,0
2015-02-08 22:41:00,0,0,0,0
2015-02-08 22:42:00,0,0,0,0
2015-02-08 22:43:00,0,27,11,0
2015-02-08 22:44:00,0,0,0,0
2015-02-08 22:45:00,0,0,0,0
2015-02-08 22:46:00,0,0,0,0
2015-02-08 22:47:00,0,0,0,0
2015-02-08 22:48:00,0,0,0,0
2015-02-08 22:49:00,0,0,0,0
2015-02-08 22:50:00,0,0,0,0
2015-02-08 22:51:00,0,0,0,0
2015-02-08 22:52:00,0,0,0,0
2015-02-08 22:53:00,0,0,0,0
2015-02-08 22:54:00,0,0,0,0
2015-02-08 22:55:00,0,0,0,0
2015-02-08 22:56:00,0,0,0,0
2015-02-08 22:57:00,0,0,0,0
2015-02-08 22:58:00,0,0,0,0
2015-02-08 22:59:00,0,0,0,0
2015-02-08 23:00:00,0,0,0,0
2015-02-08 23:01:00,0,0,0,0
2015-02-08 23:02:00,0,0,0,0
2015-02-08 23:03:00,0,0,0,0
2015-02-08 23:04:00,0,0,0,0
2015-02-08 23:05:00,0,0,0,0
2015-02-08 23:06:00,0,0,0,0
2015-02-08 23:07:00,0,0,0,0
2015-02-08 23:08:00,0,0,0,0
2015-02-08 23:09:00,0,0,0,0
2015-02-08 23:10:00,0,0,0,0
2015-02-08 23:11:00,0,0,0,0
2015-02-08 23:12:00,0,0,0,0
2015-02-08 23:13:00,0,0,0,0
2015-02-08 23:14:00,0,0,0,0
2015-02-08 23:15:00,0,0,0,0
2015-02-08 23:16:00,0,0,0,0
2015-02-08 23:17:00,0,0,0,0
2015-02-08 23:18:00,465,503,593,1
2015-02-08 23:19:00,0,0,0,0
2015-02-08 23:20:00,0,0,0,0
2015-02-08 23:21:00,0,0,0,0
2015-02-08 23:22:00,0,0,0,0
2015-02-08 23:23:00,0,0,0,0
2015-02-08 23:24:00,0,0,0,0
2015-02-08 23:25:00,0,0,0,0
2015-02-08 23:26:00,0,0,0,0
2015-02-08 23:27:00,0,0,0,0
2015-02-08 23:28:00,82,254,179,2
2015-02-08 23:29:00,0,0,0,0
2015-02-08 23:30:00,0,0,0,0
2015-02-08 23:31:00,0,0,0,0
2015-02-08 23:32:00,0,0,0,0
2015-02-08 23:33:00,0,0,0,0
2015-02-08 23:34:00,0,0,0,0
2015-02-08 23:35:00,0,0,0,0
2015-02-08 23:36:00,0,0,0,0
2015-02-08 23:37:00,0,0,0,0
2015-02-08 23:38:00,0,0,0,0
2015-02-08 23:39:00,0,0,0,0
2015-02-08 23:40:00,0,0,0,0
2015-02-08 23:41:00,0,0,0,0
2015-02-08 23:42:00,0,0,0,0
2015-02-08 23:43:00,0,0,0,0
2015-02-08 23:44:00,0,0,0,0
